time ,strain(micro),F
0.0002512,2476.635176,-0.404462546
2.52E-04,2476.696167,-0.401817636
0.000252,2476.751342,-0.399164945
2.52E-04,2476.800549,-0.396505904
0.0002528,2476.843642,-0.393841946
2.53E-04,2476.880483,-0.39117451
0.0002536,2476.910937,-0.388505036
2.54E-04,2476.934877,-0.385834967
0.0002544,2476.95218,-0.383165745
2.55E-04,2476.962729,-0.380498811
0.0002552,2476.966413,-0.377835605
2.56E-04,2476.963127,-0.375177563
0.000256,2476.952772,-0.372526115
2.56E-04,2476.935252,-0.369882688
0.0002568,2476.910482,-0.367248698
2.57E-04,2476.878377,-0.364625558
0.0002576,2476.838861,-0.362014666
2.58E-04,2476.791863,-0.359417413
0.0002584,2476.737318,-0.356835177
2.59E-04,2476.675166,-0.354269323
0.0002592,2476.605352,-0.351721203
2.60E-04,2476.527827,-0.349192151
0.00026,2476.44255,-0.346683488
2.60E-04,2476.34948,-0.344196513
0.0002608,2476.248587,-0.341732511
2.61E-04,2476.139842,-0.339292743
0.0002616,2476.023225,-0.336878452
2.62E-04,2475.898718,-0.334490857
0.0002624,2475.766309,-0.332131156
2.63E-04,2475.625993,-0.32980052
0.0002632,2475.477768,-0.327500097
2.64E-04,2475.321636,-0.325231009
0.000264,2475.157607,-0.322994349
2.64E-04,2474.985693,-0.320791184
0.0002648,2474.805913,-0.31862255
2.65E-04,2474.618287,-0.316489455
0.0002656,2474.422843,-0.314392876
2.66E-04,2474.219613,-0.312333756
0.0002664,2474.008631,-0.310313009
2.67E-04,2473.789937,-0.308331513
0.0002672,2473.563574,-0.306390115
2.68E-04,2473.329592,-0.304489623
0.000268,2473.088041,-0.302630813
2.68E-04,2472.838976,-0.300814425
0.0002688,2472.582458,-0.29904116
2.69E-04,2472.318548,-0.297311683
0.0002696,2472.047313,-0.295626623
2.70E-04,2471.768823,-0.293986567
0.0002704,2471.483151,-0.292392066
2.71E-04,2471.190372,-0.29084363
0.0002712,2470.890566,-0.289341731
2.72E-04,2470.583815,-0.287886799
0.000272,2470.270204,-0.286479225
2.72E-04,2469.94982,-0.28511936
0.0002728,2469.622754,-0.283807511
2.73E-04,2469.289098,-0.282543947
0.0002736,2468.948948,-0.281328893
2.74E-04,2468.602401,-0.280162535
0.0002744,2468.249557,-0.279045017
2.75E-04,2467.890517,-0.277976438
0.0002752,2467.525386,-0.276956861
2.76E-04,2467.154267,-0.275986301
0.000276,2466.77727,-0.275064737
2.76E-04,2466.394502,-0.274192104
0.0002768,2466.006074,-0.273368294
2.77E-04,2465.612097,-0.272593161
0.0002776,2465.212685,-0.271866516
2.78E-04,2464.807952,-0.271188131
0.0002784,2464.398014,-0.270557734
2.79E-04,2463.982987,-0.269975018
0.0002792,2463.562988,-0.269439632
2.80E-04,2463.138136,-0.268951187
0.00028,2462.708549,-0.268509257
2.80E-04,2462.274347,-0.268113375
0.0002808,2461.83565,-0.267763038
2.81E-04,2461.392578,-0.267457704
0.0002816,2460.945254,-0.267196795
2.82E-04,2460.493797,-0.266979697
0.0002824,2460.03833,-0.266805761
2.83E-04,2459.578973,-0.266674303
0.0002832,2459.115849,-0.266584603
2.84E-04,2458.64908,-0.266535911
0.000284,2458.178785,-0.266527442
2.84E-04,2457.705088,-0.266558379
0.0002848,2457.228109,-0.266627875
2.85E-04,2456.747969,-0.266735054
0.0002856,2456.264788,-0.266879009
2.86E-04,2455.778686,-0.267058804
0.0002864,2455.289783,-0.267273478
2.87E-04,2454.798198,-0.267522042
